method,missing_condition,metric,N,mean,std,median,min,max,p05,p25,p75,p95
linear_interp,missing_only,masked_ADE,128,0.1178819741908228,0.09626744306397975,0.09093862026929855,0.0,0.37967449426651,0.0,0.03871144354343414,0.19334068149328232,0.29265257120132443
linear_interp,missing_only,masked_RMSE,128,0.08884004872015794,0.07185219893233001,0.06530052050948143,0.0,0.27314838767051697,0.0,0.02954862918704748,0.14232109114527702,0.21714110299944875
linear_interp,missing_only,endpoint_error,128,0.0987844852861599,0.09794321730159425,0.07012821733951569,0.0,0.4288959205150604,0.0,0.025864670518785715,0.14632562920451164,0.3141785696148872
linear_interp,missing_only,path_length_error,128,0.06961901648901403,0.12891210320068341,0.02141532301902771,0.0,0.7967965751886368,0.0,2.2351741790771484e-08,0.07965686172246933,0.30332978069782246
linear_interp,missing_only,acceleration_error,128,0.05436450440538465,0.043240917500899693,0.04841146059334278,0.0,0.18416596949100494,0.0,0.018702158238738775,0.08576387166976929,0.12897834852337833
savgol_w5_p2,missing_only,masked_ADE,128,0.11614128926885314,0.09487273797204378,0.08945358172059059,0.0,0.37872764468193054,0.0,0.03687078598886728,0.18746372312307358,0.29080423563718794
savgol_w5_p2,missing_only,masked_RMSE,128,0.08804768253912698,0.07105340546875208,0.06465446203947067,0.0,0.2727205455303192,0.0,0.028696558438241482,0.13996152952313423,0.21783308833837506
savgol_w5_p2,missing_only,endpoint_error,128,0.09624740932122222,0.09640636209925159,0.06805669888854027,0.0,0.44679978489875793,0.0,0.03168991953134537,0.13931109383702278,0.30770676583051676
savgol_w5_p2,missing_only,path_length_error,128,0.08681573268404463,0.12255224622193547,0.04244650900363922,0.0,0.7571015357971191,0.0,0.014269150793552399,0.12536073476076126,0.28131970465183254
savgol_w5_p2,missing_only,acceleration_error,128,0.10254920636058795,0.05386202689645811,0.12532421946525574,6.35782896551973e-07,0.26327961683273315,0.005679145222529769,0.06174167990684509,0.13614000007510185,0.16053444147109983
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,masked_ADE,128,0.3203322663757717,0.25727765769759453,0.25956666469573975,0.0,0.9696711301803589,0.0,0.11542809940874577,0.5244085043668747,0.7714759379625319
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,masked_RMSE,128,0.24834539976291126,0.1975830541073375,0.20100457221269608,0.0,0.7468360066413879,0.0,0.08706710487604141,0.4266968443989754,0.5922344326972959
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,endpoint_error,128,0.4964696486858884,0.4131256124347379,0.38489319384098053,0.0,1.5556182861328125,0.0,0.17591139301657677,0.8853795975446701,1.246613436937332
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,path_length_error,128,0.4051790375378914,0.5642071483018788,0.12078732252120972,0.0,2.2161746621131897,0.0,0.02074159774929285,0.5456931963562965,1.7470138087868683
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,acceleration_error,128,0.14642979324162297,0.10212797691954978,0.1240503117442131,0.0,0.4209373891353607,0.0049037238582968715,0.07387720607221127,0.22134657576680183,0.3238087192177771
ddpm_v3_inpainting,missing_only,masked_ADE,640,0.3073319397299201,0.23015130924180782,0.25432197749614716,0.007917520590126514,1.7336921691894531,0.03270924538373947,0.12179219536483288,0.45701105892658234,0.7393840521574017
ddpm_v3_inpainting,missing_only,masked_RMSE,640,0.2398050893061736,0.17617898085269265,0.20619001984596252,0.005747621413320303,1.339861273765564,0.02516386350616813,0.09979093819856644,0.3555237576365471,0.5643064141273495
ddpm_v3_inpainting,missing_only,endpoint_error,640,0.46905270961724455,0.35580600610569346,0.3944716900587082,0.01031320821493864,2.734710454940796,0.04370919279754162,0.18006709218025208,0.6737840175628662,1.1381649017333983
ddpm_v3_inpainting,missing_only,path_length_error,640,0.3890616956661688,0.3635092079875101,0.2601912170648575,9.363889694213867e-05,2.7811979055404663,0.02429434806108475,0.1126876100897789,0.5866134166717529,1.1346967458724975
ddpm_v3_inpainting,missing_only,acceleration_error,640,0.06381027388124494,0.04191686673682468,0.05841973423957825,0.0020260768942534924,0.19762875139713287,0.006038346909917892,0.031238771975040436,0.0921204723417759,0.1373235285282135
ddpm_v3_inpainting_anchored,missing_only,masked_ADE,640,0.12606635214870038,0.08590755202964206,0.1159173920750618,0.001695090439170599,0.3733136057853699,0.013374347425997258,0.052598973736166954,0.18544840440154076,0.2833621546626091
ddpm_v3_inpainting_anchored,missing_only,masked_RMSE,640,0.0957136027436718,0.0645458879681186,0.09029528498649597,0.0013794993283227086,0.2733210623264313,0.010122596845030784,0.040173341520130634,0.14094850048422813,0.20906732827424995
ddpm_v3_inpainting_anchored,missing_only,endpoint_error,640,0.10541534741187206,0.09344453895227932,0.0814511701464653,0.0017390715656802058,0.5504829287528992,0.007847525458782912,0.03502646181732416,0.14348239079117775,0.30386958420276616
ddpm_v3_inpainting_anchored,missing_only,path_length_error,640,0.10029685480549233,0.13572605837475557,0.04185083135962486,2.364814281463623e-05,0.793598011136055,0.0025508429855108264,0.017871618270874023,0.12972897291183472,0.38626149892807
ddpm_v3_inpainting_anchored,missing_only,acceleration_error,640,0.05866746461906587,0.0409898936987619,0.05328772962093353,0.0010372762335464358,0.19275245070457458,0.0044400072656571865,0.025535809341818094,0.08869549073278904,0.13196963742375367
