geometry_profile,total_windows,feasible_windows,discarded_windows,retention_rate,main_constraint_type,source_family,window_violation_rate,infeasible_transition_rate,mean_infeasible_transitions_per_window
obstacle_v1,36073,25430,10643,0.7049593879078535,"central rectangular obstacle [1.2, 1.8] x [1.2, 1.8]",controlled_benchmark,0.2807707432166732,0.07575180578264379,1.439284309870232
obstacle_v1,36073,25430,10643,0.7049593879078535,"central rectangular obstacle [1.2, 1.8] x [1.2, 1.8]",phase1_baseline,0.002366476098288918,0.00032140834860374567,0.006106758623471167
obstacle_v1,36073,25430,10643,0.7049593879078535,"central rectangular obstacle [1.2, 1.8] x [1.2, 1.8]",refinement,0.043657097915847425,0.012222992597498464,0.23223685935247085
obstacle_v1,36073,25430,10643,0.7049593879078535,"central rectangular obstacle [1.2, 1.8] x [1.2, 1.8]",refinement_alpha_sweep,0.04370166470048499,0.01102663264531758,0.20950602026103401
two_room_v1,36073,27544,8529,0.7635627754830483,"internal wall with narrow opening y in [1.35, 1.65]",controlled_benchmark,0.028095955562009875,0.0026952091963862606,0.05120897473133895
two_room_v1,36073,27544,8529,0.7635627754830483,"internal wall with narrow opening y in [1.35, 1.65]",phase1_baseline,0.00392472277456303,0.00028983193814201047,0.005506806824698198
two_room_v1,36073,27544,8529,0.7635627754830483,"internal wall with narrow opening y in [1.35, 1.65]",refinement,0.02767148320263336,0.0024739045915689603,0.047004187239810244
two_room_v1,36073,27544,8529,0.7635627754830483,"internal wall with narrow opening y in [1.35, 1.65]",refinement_alpha_sweep,0.0287267644496079,0.0026429574153216326,0.05021619089111102
wall_door_v1,36073,30014,6059,0.8320350400576608,"internal wall with door opening y in [1.2, 1.8]",controlled_benchmark,0.021592007063370427,0.0020465230260965934,0.038883937495835276
wall_door_v1,36073,30014,6059,0.8320350400576608,"internal wall with door opening y in [1.2, 1.8]",phase1_baseline,0.002380940176635519,0.00019509564002835565,0.003706817160538757
wall_door_v1,36073,30014,6059,0.8320350400576608,"internal wall with door opening y in [1.2, 1.8]",refinement,0.02101186113147198,0.0018888261501357846,0.035887696852579906
wall_door_v1,36073,30014,6059,0.8320350400576608,"internal wall with door opening y in [1.2, 1.8]",refinement_alpha_sweep,0.021748184180715665,0.0019968125150618935,0.03793943778617598
