span_ratio,span_mode,method,metric,mean,std,min,max
0.2,random,linear_interp,ADE,0.0017243181937374175,1.2356613297015429e-05,0.001711961580440402,0.0017366748070344329
0.2,random,linear_interp,FDE,0.0,0.0,0.0,0.0
0.2,random,linear_interp,RMSE,0.004099450074136257,1.5104655176401138e-05,0.004084345418959856,0.004114554729312658
0.2,random,linear_interp,masked_ADE,0.008621591608971357,6.17816112935543e-05,0.008559809997677803,0.008683373220264912
0.2,random,linear_interp,masked_RMSE,0.00916664907708764,3.377581015229225e-05,0.009132873266935349,0.009200424887239933
0.2,random,linear_interp,off_map_ratio,0.0,0.0,0.0,0.0
0.2,random,linear_interp,wall_crossing_count,0.0,0.0,0.0,0.0
0.2,random,savgol_w5_p2,ADE,0.002508631907403469,1.0667135939002037e-05,0.002497964771464467,0.002519299043342471
0.2,random,savgol_w5_p2,FDE,0.0006983637867961079,3.4572440199553967e-07,0.0006980180623941123,0.0006987095111981034
0.2,random,savgol_w5_p2,RMSE,0.004154860507696867,1.4234334230422974e-05,0.004140626173466444,0.00416909484192729
0.2,random,savgol_w5_p2,masked_ADE,0.008320546709001064,6.0636550188064575e-05,0.008259910158813,0.008381183259189129
0.2,random,savgol_w5_p2,masked_RMSE,0.008931396529078484,3.512948751449585e-05,0.008896267041563988,0.00896652601659298
0.2,random,savgol_w5_p2,off_map_ratio,2.772156460510631e-06,0.0,2.772156460510631e-06,2.772156460510631e-06
0.2,random,savgol_w5_p2,wall_crossing_count,0.0,0.0,0.0,0.0
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,ADE,0.009298375807702541,1.8826685845851898e-05,0.00927954912185669,0.009317202493548393
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,FDE,0.006378509569913149,6.698537617921829e-06,0.006371811032295227,0.006385208107531071
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,RMSE,0.014709276612848043,5.1272567361593246e-05,0.01465800404548645,0.014760549180209637
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,masked_ADE,0.027722793631255627,0.00012216810137033463,0.027600625529885292,0.02784496173262596
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,masked_RMSE,0.03111246135085821,0.0001254091039299965,0.030987052246928215,0.031237870454788208
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,off_map_ratio,4.712665982868073e-05,2.7721564605106308e-06,4.43545033681701e-05,4.989881628919136e-05
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,wall_crossing_count,0.0,0.0,0.0,0.0
